record_type,product_id,brand,name,code,product_quantity,street_price,suggested_price,price_novat,plain_description,weight,picture 1,picture 2,picture 3,Firme,Categorie,Sottocategorie,altro,season,7dayssale,color,partner,service,Sunglasses,Warehouse2,bicolors,Watches,Print, Genere,shoes,model_id,barcode,model_size,model_quantity
PRODUCT,41339,Geographical Norway,Adriano,Adriano_man_black,71,120.00,,24.90,Jacket men ᐧ theme: Italia ᐧ 100% polyamide ᐧ zip closure ᐧ hand wash,2.00,http://www.brandsdistribution.com/prod/stock_prod41339_image_1746465652.jpg,http://www.brandsdistribution.com/prod/stock_prod41339_image_418012576.jpg,http://www.brandsdistribution.com/prod/stock_prod41339_image_1899020019.jpg,Geographical Norway,Men,Jackets," "," "," "," "," "," "," "," "," "," "," ",," "," "," "," "," "
MODEL,41339," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126565,3543112829468   ,S,6
MODEL,41339," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126566,3543112829475   ,M,10
MODEL,41339," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126567,3543112829482   ,L,16
MODEL,41339," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126568,3543112829499   ,XL,23
MODEL,41339," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126569,3543112829505   ,XXL,16
PRODUCT,41340,Geographical Norway,Adriano,Adriano_man_kaki,27,120.00,,24.90,Jacket men ᐧ theme: Italia ᐧ 100% polyamide ᐧ zip closure ᐧ hand wash,2.00,http://www.brandsdistribution.com/prod/stock_prod41340_image_1423830283.jpg,http://www.brandsdistribution.com/prod/stock_prod41340_image_1042659359.jpg,http://www.brandsdistribution.com/prod/stock_prod41340_image_1089718742.jpg,Geographical Norway,Men,Jackets," "," "," "," "," "," "," "," "," "," "," ",," "," "," "," "," "
MODEL,41340," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126571,3543112829628   ,M,5
MODEL,41340," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126572,3543112829635   ,L,13
MODEL,41340," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126573,3543112829642   ,XL,2
MODEL,41340," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126574,3543112829659   ,XXL,7
PRODUCT,41341,Geographical Norway,Adriano,Adriano_man_navy,22,120.00,,24.90,Jacket men ᐧ theme: Italia ᐧ 100% polyamide ᐧ zip closure ᐧ hand wash,2.00,http://www.brandsdistribution.com/prod/stock_prod41341_image_296103694.jpg,http://www.brandsdistribution.com/prod/stock_prod41341_image_456093272.jpg,http://www.brandsdistribution.com/prod/stock_prod41341_image_2082797241.jpg,Geographical Norway,Men,Jackets," "," "," "," "," "," "," "," "," "," "," ",," "," "," "," "," "
MODEL,41341," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126575,3543112829574   ,M,2
MODEL,41341," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126576,3543112829581   ,L,12
MODEL,41341," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126577,3543112829598   ,XL,7
MODEL,41341," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126578,3543112829604   ,XXL,1
PRODUCT,41342,Geographical Norway,Adriano,Adriano_man_white,36,120.00,,24.90,Jacket men ᐧ theme: Italia ᐧ 100% polyamide ᐧ zip closure ᐧ hand wash,2.00,http://www.brandsdistribution.com/prod/stock_prod41342_image_217055346.jpg,http://www.brandsdistribution.com/prod/stock_prod41342_image_1166711951.jpg,http://www.brandsdistribution.com/prod/stock_prod41342_image_1231796421.jpg,Geographical Norway,Men,Jackets," "," "," "," "," "," "," "," "," "," "," ",," "," "," "," "," "
MODEL,41342," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",126580,3543112829529   ,S,8
